Data i godzina,Energia na falownik|Symo 3.0-3-S (Zach) (# 1),Energia na falownik|Symo 3.0-3-S (Wsch) (# 2),"Energia na falownik|IG 15 (Pd, TF) (# 3)",Energia na falownik na kWp|Symo 3.0-3-S (Zach) (# 1),Energia na falownik na kWp|Symo 3.0-3-S (Wsch) (# 2),"Energia na falownik na kWp|IG 15 (Pd, TF) (# 3)",Cała instalacja
19.03.2016,8.7,8.44,4.31,2.54,2.46,3.31,21.44
20.03.2016,2.05,2.2,0.92,0.6,0.64,0.71,5.18
21.03.2016,3.81,4.03,1.73,1.11,1.17,1.33,9.57
22.03.2016,5.9,6.16,2.8,1.72,1.8,2.15,14.85
23.03.2016,4.37,4.85,1.59,1.28,1.41,1.22,10.81
24.03.2016,10.32,13.05,4.49,3.01,3.8,3.45,27.86
25.03.2016,6.24,6.99,2.28,1.82,2.04,1.76,15.52
26.03.2016,2.64,2.76,1.24,0.77,0.8,0.96,6.64
27.03.2016,8.23,8.43,3.84,2.4,2.46,2.95,20.5
28.03.2016,9.82,11.74,4.06,2.86,3.42,3.12,25.62
29.03.2016,8.89,9.85,4.4,2.59,2.87,3.38,23.13
30.03.2016,8.5,10.87,3.13,2.48,3.17,2.41,22.49
31.03.2016,8.29,8.52,3.78,2.42,2.48,2.91,20.59
01.04.2016,2.12,2.21,0.99,0.62,0.64,0.76,5.31
02.04.2016,12.05,14.5,5.11,3.51,4.23,3.93,31.66
03.04.2016,11.44,13.45,4.98,3.34,3.92,3.83,29.87
04.04.2016,11.21,13.28,4.82,3.27,3.87,3.71,29.31
05.04.2016,11.33,13.72,4.8,3.3,4,3.69,29.85
06.04.2016,6.28,8.13,2.25,1.83,2.37,1.73,16.66
07.04.2016,9.77,11.34,3.86,2.85,3.31,2.97,24.96
08.04.2016,2.24,2.99,1.26,0.65,0.87,0.97,6.5
09.04.2016,1.16,1.22,0.62,0.34,0.36,0.48,3
10.04.2016,1.48,1.56,0.74,0.43,0.45,0.57,3.78
11.04.2016,2.2,2.4,1.06,0.64,0.7,0.82,5.66
12.04.2016,5.7,5.91,2.54,1.66,1.72,1.96,14.15
13.04.2016,13.08,15.02,5.61,3.81,4.38,4.31,33.71
14.04.2016,4.07,4.52,1.75,1.19,1.32,1.35,10.35
15.04.2016,11.02,11.58,5.07,3.21,3.38,3.9,27.67
16.04.2016,10.65,11.78,4.77,3.1,3.43,3.67,27.19
17.04.2016,12.01,15.79,4.63,3.5,4.6,3.56,32.44
18.04.2016,5.7,5.85,2.45,1.66,1.7,1.88,14
19.04.2016,7.22,8.87,2.9,2.1,2.59,2.23,18.99
20.04.2016,8.7,9.66,4.03,2.54,2.82,3.1,22.4
21.04.2016,13.99,16.19,5.77,4.08,4.72,4.44,35.94
22.04.2016,15.47,18.31,6.07,4.51,5.34,4.67,39.86
23.04.2016,11.82,13.8,4.68,3.45,4.02,3.6,30.3
24.04.2016,5.57,5.84,2.44,1.62,1.7,1.88,13.85
25.04.2016,7.9,8.6,3.27,2.3,2.51,2.52,19.77
26.04.2016,13.72,18.05,5.5,4,5.26,4.23,37.27
27.04.2016,2.84,3.02,1.32,0.83,0.88,1.02,7.18
28.04.2016,15.43,18.67,5.93,4.5,5.44,4.56,40.03
29.04.2016,13.92,16.93,5.4,4.06,4.94,4.16,36.26
30.04.2016,12.66,12.16,5.75,3.69,3.54,4.42,30.56
01.05.2016,9.23,9.32,4.09,2.69,2.72,3.14,22.64
02.05.2016,8.7,9.26,3.79,2.54,2.7,2.91,21.74
03.05.2016,11.64,12.17,5.08,3.39,3.55,3.91,28.89
04.05.2016,12.79,14,5.7,3.73,4.08,4.38,32.48
05.05.2016,11.69,12.34,5.24,3.41,3.6,4.03,29.27
06.05.2016,15.09,17.36,5.87,4.4,5.06,4.51,38.32
07.05.2016,14.92,18.45,5.68,4.35,5.38,4.37,39.05
08.05.2016,8.71,8.03,3.87,2.54,2.34,2.97,20.61
09.05.2016,10.48,10.65,4.46,3.05,3.11,3.43,25.59
10.05.2016,17.22,17.82,7.09,5.02,5.19,5.46,42.13
11.05.2016,15.72,18.61,6.13,4.58,5.43,4.72,40.47
12.05.2016,17.38,20.22,6.74,5.07,5.9,5.19,44.35
13.05.2016,7.12,8.73,2.82,2.08,2.54,2.17,18.66
14.05.2016,3.38,3.41,1.57,0.98,1,1.21,8.36
15.05.2016,12.34,13.67,5.01,3.6,3.99,3.86,31.03
16.05.2016,15.72,15.96,6.35,4.58,4.65,4.88,38.03
17.05.2016,11.31,12.88,4.73,3.3,3.76,3.64,28.91
18.05.2016,5.94,6.01,2.55,1.73,1.75,1.96,14.49
19.05.2016,17.53,18.4,7.22,5.11,5.36,5.55,43.15
20.05.2016,14.01,17.05,5.19,4.08,4.97,4,36.25
21.05.2016,17.31,19.18,6.94,5.05,5.59,5.34,43.44
22.05.2016,18.02,19.64,7.19,5.25,5.73,5.53,44.85
23.05.2016,18.72,20.85,7.35,5.46,6.08,5.65,46.91
24.05.2016,18.63,20.19,7.4,5.43,5.89,5.69,46.22
25.05.2016,12.22,14.71,4.97,3.56,4.29,3.83,31.9
26.05.2016,11.61,10.87,5.06,3.38,3.17,3.89,27.54
27.05.2016,17.03,19.72,7.08,4.97,5.75,5.45,43.84
28.05.2016,15.37,18.34,6.16,4.48,5.35,4.74,39.87
29.05.2016,12.3,14.52,4.91,3.58,4.23,3.78,31.73
30.05.2016,13.16,15.53,5.55,3.84,4.53,4.27,34.24
31.05.2016,10.38,10.34,4.61,3.03,3.01,3.54,25.33
01.06.2016,16.12,18.37,6.66,4.7,5.36,5.12,41.15
02.06.2016,5,5.42,2.33,1.46,1.58,1.79,12.74
03.06.2016,6.16,5.83,2.72,1.8,1.7,2.09,14.71
04.06.2016,15.68,17.39,5.88,4.57,5.07,4.52,38.95
05.06.2016,14.33,17.05,5.88,4.18,4.97,4.52,37.26
06.06.2016,17.84,19.06,6.79,5.2,5.56,5.22,43.7
07.06.2016,19.56,20.79,7.61,5.7,6.06,5.85,47.96
08.06.2016,20.23,22.09,7.9,5.9,6.44,6.08,50.23
09.06.2016,15.25,16.21,6.82,4.45,4.73,5.24,38.28
10.06.2016,16.61,19.59,6.75,4.84,5.71,5.19,42.94
11.06.2016,11.46,12.36,4.88,3.34,3.6,3.75,28.7
12.06.2016,14.49,15.98,6.12,4.22,4.66,4.71,36.58
13.06.2016,18.77,21.38,7.51,5.47,6.23,5.78,47.66
14.06.2016,13.39,15.77,5.64,3.9,4.6,4.33,34.8
15.06.2016,14.43,17.01,3.18,4.21,4.96,2.45,34.63
16.06.2016,13.51,16.92,5.42,3.94,4.93,4.17,35.86
17.06.2016,15.83,15.91,6.22,4.62,4.64,4.78,37.96
18.06.2016,20.23,21.94,7.84,5.9,6.4,6.03,50.02
19.06.2016,16.99,19.94,6.89,4.95,5.81,5.3,43.81
20.06.2016,8.54,8.62,4,2.49,2.51,3.07,21.16
21.06.2016,17.78,20.08,7.43,5.19,5.85,5.72,45.29
22.06.2016,14.55,15.78,6.31,4.24,4.6,4.86,36.64
23.06.2016,16.61,18.17,6.55,4.84,5.3,5.04,41.34
24.06.2016,18.24,20.44,7.4,5.32,5.96,5.69,46.07
25.06.2016,17.94,18.91,8.03,5.23,5.51,6.18,44.88
26.06.2016,13.01,15.34,5.35,3.79,4.47,4.12,33.7
27.06.2016,6.15,6.78,2.82,1.79,1.98,2.17,15.76
28.06.2016,7.89,7.81,3.54,2.3,2.28,2.73,19.24
29.06.2016,19.68,21.39,7.96,5.74,6.24,6.13,49.03
30.06.2016,18.42,20.83,7.78,5.37,6.07,5.98,47.03
01.07.2016,14.01,15.09,6.63,4.09,4.4,5.1,35.73
02.07.2016,19.1,20.99,7.83,5.57,6.12,6.02,47.92
03.07.2016,10.03,8.93,4.6,2.92,2.6,3.54,23.56
04.07.2016,17.05,19.11,6.72,4.97,5.57,5.17,42.87
05.07.2016,19.57,21.17,8.04,5.71,6.17,6.19,48.77
06.07.2016,14.66,14.35,6.74,4.27,4.18,5.18,35.75
07.07.2016,16.2,18.11,7.1,4.72,5.28,5.46,41.42
08.07.2016,14.35,16.18,5.73,4.18,4.72,4.41,36.26
09.07.2016,13.39,15.05,5.9,3.9,4.39,4.54,34.34
10.07.2016,18.13,18.85,7.32,5.28,5.5,5.63,44.3
11.07.2016,17.34,19.48,7.31,5.06,5.68,5.63,44.13
12.07.2016,11.03,10.79,4.94,3.22,3.15,3.8,26.76
13.07.2016,9.66,9.55,4.58,2.82,2.78,3.52,23.78
14.07.2016,10.49,10,4.81,3.06,2.91,3.7,25.3
15.07.2016,9.62,10.42,4.36,2.81,3.04,3.36,24.4
16.07.2016,4.3,4.64,2.03,1.25,1.35,1.56,10.98
17.07.2016,1.27,1.31,0.74,0.37,0.38,0.57,3.33
18.07.2016,4.24,4.53,1.99,1.24,1.32,1.53,10.77
19.07.2016,4.69,4.88,2.17,1.37,1.42,1.67,11.74
20.07.2016,12.46,12.91,5.82,3.63,3.76,4.48,31.19
21.07.2016,17.59,20.04,7.05,5.13,5.84,5.43,44.68
22.07.2016,16.77,18.71,6.6,4.89,5.45,5.08,42.08
23.07.2016,16.86,19.65,6.97,4.92,5.73,5.37,43.48
24.07.2016,16.18,18.6,6.76,4.72,5.42,5.2,41.53
25.07.2016,10.69,11.91,4.72,3.12,3.47,3.63,27.32
26.07.2016,11.26,13.13,5,3.28,3.83,3.85,29.39
27.07.2016,13.37,14.95,5.78,3.9,4.36,4.45,34.1
28.07.2016,7.58,8.7,3.45,2.21,2.54,2.66,19.73
29.07.2016,12.46,13.96,5.67,3.63,4.07,4.36,32.09
30.07.2016,16.57,19.23,6.86,4.83,5.61,5.28,42.67
31.07.2016,11.38,13.86,4.77,3.32,4.04,3.67,30.01
01.08.2016,8.25,8.45,3.93,2.41,2.46,3.03,20.64
02.08.2016,16.85,19.33,6.75,4.91,5.63,5.2,42.93
03.08.2016,15.65,16.92,7.15,4.56,4.93,5.5,39.73
04.08.2016,15.7,16.23,7.01,4.58,4.73,5.39,38.94
05.08.2016,12.65,14.15,5.96,3.69,4.13,4.59,32.77
06.08.2016,2.34,2.48,1.2,0.68,0.72,0.92,6.01
07.08.2016,14.02,16.63,5.55,4.09,4.85,4.27,36.2
08.08.2016,16.09,18.84,6.69,4.69,5.49,5.15,41.63
09.08.2016,14.11,17.38,5.75,4.11,5.07,4.42,37.25
10.08.2016,2,2.11,1.05,0.58,0.61,0.81,5.15
11.08.2016,7.64,8.01,3.52,2.23,2.34,2.71,19.18
12.08.2016,12.94,16.37,4.97,3.77,4.77,3.82,34.29
13.08.2016,9.13,9.85,4.18,2.66,2.87,3.22,23.16
14.08.2016,12.45,15.54,5.05,3.63,4.53,3.88,33.04
15.08.2016,12.21,13.67,5.13,3.56,3.98,3.95,31.01
16.08.2016,10.62,11.72,4.88,3.1,3.42,3.76,27.23
17.08.2016,8.35,8.92,3.67,2.43,2.6,2.82,20.94
18.08.2016,14.89,17.19,6.25,4.34,5.01,4.81,38.33
19.08.2016,13.79,16.58,5.82,4.02,4.83,4.48,36.19
20.08.2016,12.95,15.72,5.39,3.77,4.58,4.15,34.05
21.08.2016,5.48,6.72,2.25,1.6,1.96,1.73,14.45
22.08.2016,3.29,3.48,1.55,0.96,1.01,1.2,8.32
23.08.2016,10.84,13.13,4.47,3.16,3.83,3.44,28.44
24.08.2016,9.96,10.6,4.93,2.9,3.09,3.79,25.49
25.08.2016,12.27,15.13,5.24,3.58,4.41,4.03,32.63
26.08.2016,12.94,16.08,5.57,3.77,4.69,4.29,34.59
27.08.2016,12.52,15.46,5.45,3.65,4.51,4.19,33.43
28.08.2016,12.18,15.07,5.35,3.55,4.39,4.12,32.61
29.08.2016,8.73,11.15,3.49,2.55,3.25,2.68,23.37
30.08.2016,10.32,10.8,5.02,3.01,3.15,3.86,26.13
31.08.2016,11.96,14.94,5.21,3.49,4.36,4.01,32.11
01.09.2016,11.98,14.87,5.28,3.49,4.34,4.06,32.13
02.09.2016,10.79,12.86,4.9,3.15,3.75,3.77,28.55
03.09.2016,8.73,10.57,3.49,2.55,3.08,2.69,22.79
04.09.2016,11.25,13.67,5.13,3.28,3.99,3.94,30.05
05.09.2016,3.88,4.03,1.81,1.13,1.18,1.39,9.73
06.09.2016,3.57,3.62,1.73,1.04,1.06,1.33,8.93
07.09.2016,8.22,8.83,3.77,2.4,2.57,2.9,20.81
08.09.2016,10.42,12.58,4.83,3.04,3.67,3.72,27.84
09.09.2016,9.91,12.07,4.49,2.89,3.52,3.46,26.47
10.09.2016,10.05,12.16,4.6,2.93,3.54,3.54,26.81
11.09.2016,9.58,11.52,4.31,2.79,3.36,3.32,25.41
12.09.2016,9.36,11.24,4.27,2.73,3.28,3.28,24.87
13.09.2016,8.73,10.72,4.09,2.55,3.13,3.15,23.54
14.09.2016,8.75,10.77,4.15,2.55,3.14,3.19,23.67
15.09.2016,9.03,11.69,4.19,2.63,3.41,3.23,24.91
16.09.2016,8.77,10.87,3.87,2.56,3.17,2.98,23.5
17.09.2016,2.41,2.68,1.18,0.7,0.78,0.91,6.27
18.09.2016,1.45,1.54,0.75,0.42,0.45,0.58,3.74
19.09.2016,0.84,0.88,0.51,0.25,0.26,0.39,2.23
20.09.2016,6.58,7.4,2.62,1.92,2.16,2.01,16.6
21.09.2016,4.1,4.18,2.04,1.19,1.22,1.57,10.32
22.09.2016,4.81,5.24,2.6,1.4,1.53,2,12.65
23.09.2016,8.21,10.14,3.4,2.39,2.96,2.61,21.75
24.09.2016,4.85,5.36,2.12,1.41,1.56,1.63,12.33
25.09.2016,7.42,8.53,4.02,2.16,2.49,3.09,19.97
26.09.2016,5.86,6.22,3.09,1.71,1.81,2.38,15.17
27.09.2016,6.41,6.41,3.64,1.87,1.87,2.8,16.47
28.09.2016,6.13,7.32,2.68,1.79,2.13,2.06,16.13
29.09.2016,6.51,6.06,3.68,1.9,1.77,2.83,16.25
30.09.2016,6.32,7.37,3.42,1.84,2.15,2.63,17.12
01.10.2016,6.08,7.86,3.3,1.77,2.29,2.54,17.23
02.10.2016,5.28,6.43,2.46,1.54,1.87,1.89,14.16
03.10.2016,1,1.05,0.54,0.29,0.3,0.42,2.58
04.10.2016,0.99,1.02,0.55,0.29,0.3,0.43,2.56
05.10.2016,1.52,1.59,0.76,0.44,0.46,0.58,3.87
06.10.2016,4.11,4.47,2.13,1.2,1.3,1.64,10.71
07.10.2016,4.73,5.04,2.44,1.38,1.47,1.88,12.22
08.10.2016,1.53,1.62,0.75,0.45,0.47,0.58,3.9
09.10.2016,4.05,4.27,2.09,1.18,1.24,1.6,10.4
10.10.2016,2.52,2.64,1.19,0.74,0.77,0.92,6.35
11.10.2016,1.69,1.77,0.83,0.49,0.52,0.64,4.29
12.10.2016,0.71,0.74,0.44,0.21,0.22,0.34,1.89
13.10.2016,1.17,1.23,0.64,0.34,0.36,0.49,3.03
14.10.2016,4.53,4.94,2.68,1.32,1.44,2.06,12.15
15.10.2016,4.06,4.49,2.59,1.18,1.31,1.99,11.14
16.10.2016,0.6,0.63,0.37,0.18,0.18,0.29,1.61
17.10.2016,2.35,2.45,1.08,0.68,0.71,0.83,5.88
18.10.2016,2.84,2.92,1.37,0.83,0.85,1.05,7.12
19.10.2016,2.5,2.51,1.13,0.73,0.73,0.87,6.13
20.10.2016,0.8,0.84,0.48,0.23,0.24,0.37,2.11
21.10.2016,0.53,0.55,0.35,0.16,0.16,0.27,1.44
22.10.2016,3.44,3.53,1.8,1,1.03,1.38,8.76
23.10.2016,3.22,3.09,2.28,0.94,0.9,1.75,8.59
24.10.2016,3.53,3.55,1.93,1.03,1.04,1.49,9.02
25.10.2016,2.37,2.51,1.07,0.69,0.73,0.82,5.95
26.10.2016,2.36,2.44,1.12,0.69,0.71,0.87,5.93
27.10.2016,2.88,2.98,1.28,0.84,0.87,0.99,7.14
28.10.2016,2.97,3.04,1.56,0.86,0.88,1.2,7.56
29.10.2016,2.61,2.77,1.23,0.76,0.81,0.95,6.61
30.10.2016,2.43,2.5,1.2,0.71,0.73,0.92,6.13
31.10.2016,2.48,2.53,1.19,0.72,0.74,0.92,6.2
01.11.2016,2.36,2.44,1.08,0.69,0.71,0.83,5.87
02.11.2016,1.95,1.97,1.09,0.57,0.58,0.84,5.01
03.11.2016,2.03,2.07,1.09,0.59,0.6,0.84,5.19
04.11.2016,1.66,1.98,1.68,0.49,0.58,1.3,5.33
05.11.2016,2.47,2.52,1.47,0.72,0.74,1.13,6.46
06.11.2016,0.75,0.79,0.41,0.22,0.23,0.31,1.94
07.11.2016,1.86,1.89,0.9,0.54,0.55,0.69,4.66
08.11.2016,2,2.06,1.16,0.58,0.6,0.89,5.21
09.11.2016,1.69,1.79,0.77,0.49,0.52,0.59,4.25
10.11.2016,2.48,2.59,1.08,0.72,0.76,0.83,6.16
11.11.2016,2.07,2.17,1.01,0.6,0.63,0.78,5.25
12.11.2016,0.47,0.49,0.28,0.14,0.14,0.22,1.24
13.11.2016,0.7,0.7,0.42,0.2,0.2,0.33,1.82
14.11.2016,0.89,0.91,0.48,0.26,0.27,0.37,2.28
15.11.2016,2.27,2.28,1.43,0.66,0.66,1.1,5.98
16.11.2016,1.43,1.49,0.69,0.42,0.44,0.53,3.61
17.11.2016,1.46,1.54,0.68,0.43,0.45,0.52,3.68
18.11.2016,1.65,1.69,1.31,0.48,0.49,1.01,4.65
19.11.2016,1.09,1.15,0.63,0.32,0.33,0.48,2.87
20.11.2016,1.32,1.4,0.67,0.39,0.41,0.52,3.4
21.11.2016,1.08,1.07,1.19,0.32,0.31,0.91,3.34
22.11.2016,0.91,0.91,1.12,0.26,0.27,0.86,2.95
23.11.2016,0.98,0.98,1.07,0.29,0.28,0.82,3.03
24.11.2016,0.99,1.03,0.52,0.29,0.3,0.4,2.54
25.11.2016,0.2,0.2,0.14,0.06,0.06,0.11,0.54
26.11.2016,1.24,1.28,0.62,0.36,0.37,0.48,3.14
27.11.2016,0.96,0.99,0.5,0.28,0.29,0.38,2.45
28.11.2016,0.18,0.23,0.14,0.05,0.07,0.11,0.55
29.11.2016,0.17,0.22,0.14,0.05,0.07,0.1,0.53
30.11.2016,0.25,0.33,0.24,0.07,0.1,0.18,0.81
01.12.2016,0.09,0.11,0.16,0.03,0.03,0.13,0.36
02.12.2016,0.75,0.79,0.41,0.22,0.23,0.31,1.95
03.12.2016,1.29,1.36,0.72,0.38,0.4,0.56,3.38
04.12.2016,1.3,1.38,1.06,0.38,0.4,0.82,3.74
05.12.2016,1.13,1.16,0.92,0.33,0.34,0.71,3.22
06.12.2016,0.92,0.98,0.48,0.27,0.28,0.37,2.37
07.12.2016,1.11,1.17,0.84,0.32,0.34,0.65,3.12
08.12.2016,1.57,1.61,0.92,0.46,0.47,0.7,4.1
09.12.2016,0.93,0.97,0.48,0.27,0.28,0.37,2.38
10.12.2016,1.1,1.17,0.55,0.32,0.34,0.42,2.82
11.12.2016,1.2,1.23,0.62,0.35,0.36,0.48,3.06
12.12.2016,0.39,0.41,0.24,0.11,0.12,0.18,1.03
13.12.2016,1.46,1.54,0.99,0.43,0.45,0.76,3.99
14.12.2016,0.28,0.28,0.16,0.08,0.08,0.12,0.73
15.12.2016,0.77,0.83,0.4,0.22,0.24,0.31,2
16.12.2016,0.81,0.87,0.86,0.24,0.25,0.66,2.53
17.12.2016,0.75,0.77,0.84,0.22,0.22,0.64,2.36
18.12.2016,0.43,0.45,0.27,0.12,0.13,0.21,1.15
19.12.2016,1.14,1.2,0.56,0.33,0.35,0.43,2.9
20.12.2016,1.05,1.12,0.86,0.31,0.33,0.66,3.04
21.12.2016,1.13,1.22,0.7,0.33,0.35,0.54,3.05
22.12.2016,0.93,1.02,0.87,0.27,0.3,0.67,2.81
23.12.2016,1.3,1.37,0.63,0.38,0.4,0.48,3.3
24.12.2016,1.13,1.18,0.54,0.33,0.34,0.41,2.85
25.12.2016,0.55,0.57,0.31,0.16,0.17,0.24,1.43
26.12.2016,0.86,0.9,0.45,0.25,0.26,0.35,2.21
27.12.2016,0.77,0.79,0.41,0.22,0.23,0.32,1.97
28.12.2016,1.12,1.18,0.56,0.33,0.34,0.43,2.86
29.12.2016,0.83,0.87,0.46,0.24,0.25,0.35,2.16
30.12.2016,1.14,1.17,0.95,0.33,0.34,0.73,3.26
31.12.2016,0.79,0.75,0.87,0.23,0.22,0.67,2.4
