Data i godzina,Energia na falownik|Symo 3.0-3-S (Zach) (# 1),Energia na falownik|Symo 3.0-3-S (Wsch) (# 2),"Energia na falownik|IG 15 (Pd, TF) (# 3)",Energia na falownik na kWp|Symo 3.0-3-S (Zach) (# 1),Energia na falownik na kWp|Symo 3.0-3-S (Wsch) (# 2),"Energia na falownik na kWp|IG 15 (Pd, TF) (# 3)",Cała instalacja
[dd.MM.yyyy],[kWh],[kWh],[kWh],[kWh/kWp],[kWh/kWp],[kWh/kWp],[kWh]
01.01.2016,1.05,1.1,0.77,0.31,0.32,0.59,2.91
02.01.2016,0.35,0.39,0.27,0.1,0.11,0.21,1.01
03.01.2016,0.26,0.3,0.26,0.08,0.09,0.2,0.82
04.01.2016,0.3,0.36,0.22,0.09,0.1,0.17,0.87
05.01.2016,0.13,0.15,0.08,0.04,0.04,0.06,0.35
06.01.2016,0.06,0.06,0.02,0.02,0.02,0.01,0.13
07.01.2016,0.02,0.02,0,0.01,0.01,0,0.05
08.01.2016,0.05,0.05,0.02,0.01,0.01,0.02,0.12
09.01.2016,0.12,0.17,0.25,0.04,0.05,0.19,0.54
10.01.2016,0.55,0.57,0.33,0.16,0.17,0.25,1.44
11.01.2016,1.08,1.15,0.5,0.32,0.34,0.39,2.74
12.01.2016,1.62,1.68,0.72,0.47,0.49,0.55,4.02
13.01.2016,1.35,1.41,0.61,0.39,0.41,0.47,3.37
14.01.2016,1.33,1.36,0.95,0.39,0.4,0.73,3.64
15.01.2016,1.43,1.46,0.63,0.42,0.43,0.49,3.52
16.01.2016,0.07,0.08,0.04,0.02,0.02,0.03,0.19
17.01.2016,0.34,0.41,0.28,0.1,0.12,0.22,1.04
18.01.2016,0.24,0.29,0.11,0.07,0.08,0.08,0.64
19.01.2016,0.18,0.21,0.12,0.05,0.06,0.09,0.5
20.01.2016,0.19,0.22,0.12,0.06,0.06,0.09,0.53
21.01.2016,0.09,0.12,0.05,0.03,0.03,0.04,0.26
22.01.2016,0.08,0.09,0.02,0.02,0.03,0.02,0.2
23.01.2016,0.07,0.08,0.06,0.02,0.02,0.05,0.2
24.01.2016,0,0,0,0,0,0,0
25.01.2016,0.44,0.45,0.43,0.13,0.13,0.33,1.31
26.01.2016,1.07,1.13,0.53,0.31,0.33,0.41,2.73
27.01.2016,1.69,1.77,0.76,0.49,0.52,0.59,4.22
28.01.2016,1.25,1.31,0.57,0.36,0.38,0.44,3.14
29.01.2016,2,2.15,1.46,0.58,0.63,1.13,5.61
30.01.2016,2.4,2.58,1.63,0.7,0.75,1.25,6.61
31.01.2016,2.34,2.43,1.04,0.68,0.71,0.8,5.82
01.02.2016,1.39,1.46,0.66,0.4,0.42,0.51,3.51
02.02.2016,2.68,2.82,1.18,0.78,0.82,0.91,6.67
03.02.2016,2.24,2.4,0.95,0.65,0.7,0.73,5.6
04.02.2016,1.8,1.85,0.88,0.52,0.54,0.68,4.53
05.02.2016,2.05,2.21,1.1,0.6,0.65,0.85,5.37
06.02.2016,2.78,2.87,1.39,0.81,0.84,1.07,7.03
07.02.2016,2.52,2.62,1.64,0.73,0.76,1.26,6.78
08.02.2016,2.14,2.27,1.04,0.62,0.66,0.8,5.46
09.02.2016,2.14,2.79,2,0.62,0.81,1.54,6.93
10.02.2016,0.76,0.38,0.38,0.22,0.11,0.29,1.52
11.02.2016,1.94,2.18,1.07,0.56,0.64,0.83,5.19
12.02.2016,2.93,3.12,1.39,0.85,0.91,1.07,7.44
13.02.2016,2.07,2.2,0.92,0.6,0.64,0.71,5.19
14.02.2016,2.36,2.84,2.3,0.69,0.83,1.77,7.49
15.02.2016,1.59,1.71,0.74,0.46,0.5,0.57,4.04
16.02.2016,0.94,1,0.48,0.27,0.29,0.37,2.41
17.02.2016,1.43,1.51,0.7,0.42,0.44,0.54,3.64
18.02.2016,2.65,2.74,1.26,0.77,0.8,0.97,6.65
19.02.2016,0.61,0.64,0.36,0.18,0.19,0.27,1.6
20.02.2016,0.68,0.75,1,0.2,0.22,0.77,2.43
21.02.2016,1.91,2.02,0.89,0.56,0.59,0.69,4.82
22.02.2016,3.66,3.83,2.49,1.07,1.12,1.92,9.98
23.02.2016,1.07,1.13,0.54,0.31,0.33,0.42,2.74
24.02.2016,2.6,2.74,1.5,0.76,0.8,1.16,6.84
25.02.2016,2.46,2.66,1.1,0.72,0.78,0.84,6.22
26.02.2016,3.79,3.54,2,1.11,1.03,1.54,9.34
27.02.2016,5.17,4.82,2.65,1.51,1.4,2.04,12.64
28.02.2016,2.81,2.96,1.21,0.82,0.86,0.93,6.99
29.02.2016,0.66,0.69,0.36,0.19,0.2,0.28,1.71
01.03.2016,1.09,1.15,0.56,0.32,0.34,0.43,2.8
02.03.2016,3.31,4.19,2.1,0.97,1.22,1.61,9.6
03.03.2016,3.67,3.94,1.55,1.07,1.15,1.19,9.16
04.03.2016,2.37,2.54,1.03,0.69,0.74,0.79,5.94
05.03.2016,5.04,5.25,2.14,1.47,1.53,1.65,12.44
06.03.2016,3.21,3.41,1.51,0.93,0.99,1.16,8.13
07.03.2016,2.4,2.57,1.09,0.7,0.75,0.84,6.06
08.03.2016,3.86,4.06,1.65,1.13,1.18,1.27,9.57
09.03.2016,3.19,3.32,1.4,0.93,0.97,1.08,7.9
10.03.2016,1.02,1.06,0.54,0.3,0.31,0.42,2.62
11.03.2016,1.44,1.52,0.7,0.42,0.44,0.54,3.66
12.03.2016,1.3,1.38,0.66,0.38,0.4,0.51,3.34
13.03.2016,1.7,1.8,0.81,0.5,0.53,0.62,4.32
14.03.2016,6.67,7.4,3.39,1.95,2.16,2.61,17.46
15.03.2016,1.3,1.4,0.72,0.38,0.41,0.55,3.42
16.03.2016,7.69,10.52,3.83,2.24,3.07,2.95,22.04
17.03.2016,7.67,7.51,3.8,2.24,2.19,2.92,18.99
18.03.2016,7.7,10.38,3.57,2.25,3.03,2.75,21.66
